COUNTYGEOID,label,tri_chem_id,quantity_kg
04019,3,000542756,0.0
04021,3,000542756,0.0
04025,3,000542756,0.0
06029,3,000542756,1189.77278651
06031,3,000542756,0.0
08081,3,000542756,0.0
10005,3,000542756,0.0
12017,3,000542756,0.0
12031,3,000542756,0.0
12057,3,000542756,586.49493441
13015,3,000542756,0.0
13077,3,000542756,0.0
13149,3,000542756,0.0
13207,3,000542756,0.0
13237,3,000542756,0.0
13257,3,000542756,0.0
19017,3,000542756,0.0
19155,3,000542756,0.0
16029,3,000542756,0.0
17021,3,000542756,0.0
17057,3,000542756,0.0
17079,3,000542756,0.0
17109,3,000542756,0.0
17135,3,000542756,0.0
17157,3,000542756,0.0
17189,3,000542756,0.0
18029,3,000542756,0.0
18051,3,000542756,0.0
18073,3,000542756,0.0
18077,3,000542756,0.0
18083,3,000542756,0.0
18109,3,000542756,0.0
18125,3,000542756,0.0
18147,3,000542756,0.0
18153,3,000542756,0.0
18165,3,000542756,0.0
18167,3,000542756,0.0
18173,3,000542756,0.0
20059,3,000542756,0.0
20107,3,000542756,0.0
20117,3,000542756,0.0
20149,3,000542756,0.0
20177,3,000542756,0.0
21041,3,000542756,0.0
21049,3,000542756,0.0
21101,3,000542756,0.0
21127,3,000542756,0.0
21145,3,000542756,0.0
21161,3,000542756,0.0
21167,3,000542756,0.0
21177,3,000542756,0.0
21183,3,000542756,0.0
21223,3,000542756,0.0
22019,3,000542756,0.45359237
22055,3,000542756,0.0
22077,3,000542756,0.0
22121,3,000542756,0.0
25005,3,000542756,0.0
24017,3,000542756,0.0
24023,3,000542756,0.0
24033,3,000542756,0.0
26017,3,000542756,0.0
26103,3,000542756,0.0
26115,3,000542756,0.0
26129,3,000542756,0.0
26139,3,000542756,0.0
26147,3,000542756,0.0
27025,3,000542756,0.0
27141,3,000542756,0.0
29071,3,000542756,0.0
29093,3,000542756,0.0
29099,3,000542756,0.0
29143,3,000542756,0.0
29175,3,000542756,0.0
29183,3,000542756,0.0
28019,3,000542756,0.0
28027,3,000542756,0.0
28047,3,000542756,0.0
30043,3,000542756,0.0
30087,3,000542756,0.0
30095,3,000542756,0.0
37013,3,000542756,0.0
37035,3,000542756,0.0
37071,3,000542756,0.0
37145,3,000542756,0.0
37161,3,000542756,0.0
37165,3,000542756,0.0
37169,3,000542756,0.0
37181,3,000542756,0.0
38055,3,000542756,0.0
38057,3,000542756,0.0
38065,3,000542756,0.0
31105,3,000542756,0.0
31111,3,000542756,0.0
31131,3,000542756,0.0
34009,3,000542756,0.0
35009,3,000542756,0.0
35017,3,000542756,0.0
35023,3,000542756,0.0
35031,3,000542756,0.0
32001,3,000542756,0.0
32015,3,000542756,0.0
32023,3,000542756,0.0
32027,3,000542756,0.0
36071,3,000542756,0.0
39001,3,000542756,0.0
39017,3,000542756,0.0
39021,3,000542756,0.0
39025,3,000542756,0.0
39029,3,000542756,15.403996885200007
39053,3,000542756,0.0
39063,3,000542756,0.0
39081,3,000542756,0.0
39167,3,000542756,0.0
40031,3,000542756,0.0
40093,3,000542756,0.0
41005,3,000542756,0.0
42005,3,000542756,0.0
42007,3,000542756,0.0
42025,3,000542756,0.0
42059,3,000542756,0.0
42063,3,000542756,0.0
42093,3,000542756,0.0
42107,3,000542756,0.0
42111,3,000542756,0.0
42121,3,000542756,0.0
42125,3,000542756,0.0
42129,3,000542756,0.0
45039,3,000542756,0.0
45051,3,000542756,0.0
47001,3,000542756,0.0
47073,3,000542756,0.0
47085,3,000542756,0.0
47145,3,000542756,0.0
47161,3,000542756,0.0
47165,3,000542756,0.0
47177,3,000542756,0.0
48003,3,000542756,0.0
48093,3,000542756,0.0
48149,3,000542756,0.0
48157,3,000542756,0.0
48161,3,000542756,0.0
48293,3,000542756,0.0
48331,3,000542756,0.0
48369,3,000542756,0.0
48395,3,000542756,0.0
48401,3,000542756,0.0
48449,3,000542756,0.0
48485,3,000542756,0.0
49015,3,000542756,0.0
49027,3,000542756,0.0
49053,3,000542756,0.0
51083,3,000542756,0.0
51163,3,000542756,0.0
51167,3,000542756,0.0
51195,3,000542756,0.0
51550,3,000542756,0.0
78010,3,000542756,0.0
53019,3,000542756,0.0
53041,3,000542756,0.0
55011,3,000542756,0.0
55123,3,000542756,0.0
54023,3,000542756,0.0
54033,3,000542756,0.0
54049,3,000542756,0.0
54051,3,000542756,0.0
54061,3,000542756,0.0
54073,3,000542756,0.0
54079,3,000542756,0.0
56009,3,000542756,0.0
56031,3,000542756,0.0
56037,3,000542756,0.0
02090,3,000532274,0.0
02188,3,000532274,0.0
01019,3,000532274,0.0
01033,3,000532274,0.0
01063,3,000532274,0.0
01073,3,000532274,0.0
01077,3,000532274,0.0
01089,3,000532274,0.0
01117,3,000532274,0.0
01119,3,000532274,0.0
01127,3,000532274,0.0
05037,3,000532274,0.0
05063,3,000532274,0.0
04001,3,000532274,0.0
04003,3,000532274,0.0
04005,3,000532274,0.0
04007,3,000532274,0.0
04011,3,000532274,0.0
04019,3,000532274,0.0
04021,3,000532274,0.0
04025,3,000532274,0.0
06029,3,000532274,0.0
06031,3,000532274,0.0
08081,3,000532274,0.0
10005,3,000532274,0.0
12017,3,000532274,0.0
12031,3,000532274,0.0
12057,3,000532274,0.0
13015,3,000532274,0.0
13077,3,000532274,0.0
13149,3,000532274,0.0
13207,3,000532274,0.0
13237,3,000532274,0.0
13257,3,000532274,0.0
19017,3,000532274,0.0
19155,3,000532274,0.0
16029,3,000532274,0.0
17021,3,000532274,0.0
17057,3,000532274,0.0
17079,3,000532274,0.0
17109,3,000532274,0.0
17135,3,000532274,0.0
17157,3,000532274,0.0
17189,3,000532274,0.0
18029,3,000532274,0.0
18051,3,000532274,0.0
18073,3,000532274,0.0
18077,3,000532274,0.0
18083,3,000532274,0.0
18109,3,000532274,0.0
18125,3,000532274,0.0
18147,3,000532274,0.0
18153,3,000532274,0.0
18165,3,000532274,0.0
18167,3,000532274,0.0
18173,3,000532274,0.0
20059,3,000532274,0.0
20107,3,000532274,0.0
20117,3,000532274,0.0
20149,3,000532274,0.0
20177,3,000532274,0.0
21041,3,000532274,0.0
21049,3,000532274,0.0
21101,3,000532274,0.0
21127,3,000532274,0.0
21145,3,000532274,0.0
21161,3,000532274,0.0
21167,3,000532274,0.0
21177,3,000532274,0.0
21183,3,000532274,0.0
21223,3,000532274,0.0
22019,3,000532274,0.0
22055,3,000532274,0.0
22077,3,000532274,0.0
22121,3,000532274,0.0
25005,3,000532274,0.0
24017,3,000532274,0.0
24023,3,000532274,0.0
24033,3,000532274,0.0
26017,3,000532274,0.0
26103,3,000532274,0.0
26115,3,000532274,0.0
26129,3,000532274,0.0
26139,3,000532274,0.0
26147,3,000532274,0.0
27025,3,000532274,0.0
27141,3,000532274,0.0
29071,3,000532274,0.0
29093,3,000532274,0.0
29099,3,000532274,0.0
29143,3,000532274,0.0
29175,3,000532274,0.0
29183,3,000532274,0.0
28019,3,000532274,0.0
28027,3,000532274,0.0
28047,3,000532274,0.0
30043,3,000532274,0.0
30087,3,000532274,0.0
30095,3,000532274,0.0
37013,3,000532274,0.0
37035,3,000532274,0.0
37071,3,000532274,0.0
37145,3,000532274,0.0
37161,3,000532274,0.0
37165,3,000532274,0.0
37169,3,000532274,0.0
37181,3,000532274,0.0
38055,3,000532274,0.0
38057,3,000532274,0.0
38065,3,000532274,0.0
31105,3,000532274,0.0
31111,3,000532274,0.0
31131,3,000532274,0.0
34009,3,000532274,0.0
35009,3,000532274,0.0
35017,3,000532274,0.0
35023,3,000532274,0.0
35031,3,000532274,0.0
32001,3,000532274,0.0
32015,3,000532274,0.0
32023,3,000532274,0.0
32027,3,000532274,0.0
36071,3,000532274,0.0
39001,3,000532274,0.0
39017,3,000532274,0.0
39021,3,000532274,0.0
39025,3,000532274,0.0
39029,3,000532274,0.0
39053,3,000532274,0.0
39063,3,000532274,0.0
39081,3,000532274,0.0
39167,3,000532274,0.0
40031,3,000532274,0.0
40093,3,000532274,0.0
41005,3,000532274,0.0
42005,3,000532274,0.0
42007,3,000532274,0.0
42025,3,000532274,0.0
42059,3,000532274,0.0
42063,3,000532274,0.0
42093,3,000532274,0.0
42107,3,000532274,0.0
42111,3,000532274,0.0
42121,3,000532274,0.0
42125,3,000532274,0.0
42129,3,000532274,0.0
45039,3,000532274,0.0
45051,3,000532274,0.0
47001,3,000532274,0.0
47073,3,000532274,0.0
47085,3,000532274,0.0
47145,3,000532274,0.0
47161,3,000532274,0.0
47165,3,000532274,0.0
47177,3,000532274,0.0
48003,3,000532274,0.0
48093,3,000532274,0.0
48149,3,000532274,0.0
48157,3,000532274,0.0
48161,3,000532274,0.0
48293,3,000532274,0.0
48331,3,000532274,0.0
48369,3,000532274,0.0
48395,3,000532274,0.0
48401,3,000532274,0.0
48449,3,000532274,0.0
48485,3,000532274,0.0
49015,3,000532274,0.0
49027,3,000532274,0.0
49053,3,000532274,0.0
51083,3,000532274,0.0
51163,3,000532274,0.0
51167,3,000532274,0.0
51195,3,000532274,0.0
51550,3,000532274,0.0
78010,3,000532274,0.0
53019,3,000532274,0.0
53041,3,000532274,0.0
55011,3,000532274,0.0
55123,3,000532274,0.0
54023,3,000532274,0.0
54033,3,000532274,0.0
54049,3,000532274,0.0
54051,3,000532274,0.0
54061,3,000532274,0.0
54073,3,000532274,0.0
54079,3,000532274,0.0
56009,3,000532274,0.0
56031,3,000532274,0.0
56037,3,000532274,0.0
02090,3,000584849,0.0
02188,3,000584849,0.0
01019,3,000584849,0.0
01033,3,000584849,0.0
01063,3,000584849,0.0
01073,3,000584849,0.0
01077,3,000584849,0.0
01089,3,000584849,0.0
01117,3,000584849,0.0
01119,3,000584849,0.0
01127,3,000584849,0.0
05037,3,000584849,0.0
05063,3,000584849,0.0
04001,3,000584849,0.0
04003,3,000584849,0.0
04005,3,000584849,0.0
04007,3,000584849,0.0
04011,3,000584849,0.0
04019,3,000584849,0.0
04021,3,000584849,0.0
04025,3,000584849,0.0
06029,3,000584849,1032.3762341200004
06031,3,000584849,0.0
08081,3,000584849,0.0
10005,3,000584849,0.0
12017,3,000584849,0.0
12031,3,000584849,0.0
12057,3,000584849,0.0
13015,3,000584849,0.0
13077,3,000584849,449.96363104000005
13149,3,000584849,0.0
13207,3,000584849,0.0
13237,3,000584849,0.0
13257,3,000584849,0.0
19017,3,000584849,0.0
19155,3,000584849,0.0
16029,3,000584849,0.0
17021,3,000584849,0.0
17057,3,000584849,0.0
17079,3,000584849,0.0
17109,3,000584849,0.0
17135,3,000584849,0.0
17157,3,000584849,0.0
17189,3,000584849,0.0
18029,3,000584849,0.0
18051,3,000584849,159.83551856349004
18073,3,000584849,0.0
18077,3,000584849,0.0
18083,3,000584849,0.0
18109,3,000584849,0.0
18125,3,000584849,0.0
18147,3,000584849,0.0
18153,3,000584849,0.0
18165,3,000584849,0.0
18167,3,000584849,0.0
18173,3,000584849,0.0
20059,3,000584849,0.0
20107,3,000584849,0.0
20117,3,000584849,0.0
20149,3,000584849,0.0
20177,3,000584849,0.0
21041,3,000584849,0.0
21049,3,000584849,0.0
21101,3,000584849,0.0
21127,3,000584849,0.0
21145,3,000584849,0.0
21161,3,000584849,0.0
21167,3,000584849,0.0
21177,3,000584849,0.0
21183,3,000584849,0.0
21223,3,000584849,0.0
22019,3,000584849,201.39501228
22055,3,000584849,0.0
22077,3,000584849,0.0
22121,3,000584849,0.0
25005,3,000584849,33.56583538
24017,3,000584849,0.0
24023,3,000584849,0.0
24033,3,000584849,0.0
26017,3,000584849,0.0
26103,3,000584849,0.0
26115,3,000584849,0.0
26129,3,000584849,0.0
26139,3,000584849,856.83598693
26147,3,000584849,0.0
27025,3,000584849,0.0
27141,3,000584849,0.0
29071,3,000584849,0.0
29093,3,000584849,0.0
29099,3,000584849,0.0
29143,3,000584849,0.0
29175,3,000584849,0.0
29183,3,000584849,0.0
28019,3,000584849,0.0
28027,3,000584849,0.0
28047,3,000584849,0.0
30043,3,000584849,0.0
30087,3,000584849,0.0
30095,3,000584849,0.0
37013,3,000584849,0.0
37035,3,000584849,505.3019001800001
37071,3,000584849,47.499285801659994
37145,3,000584849,0.0
37161,3,000584849,0.0
37165,3,000584849,0.0
37169,3,000584849,0.0
37181,3,000584849,0.0
38055,3,000584849,0.0
38057,3,000584849,0.0
38065,3,000584849,0.0
31105,3,000584849,3.129787353
31111,3,000584849,0.0
31131,3,000584849,0.0
34009,3,000584849,0.0
35009,3,000584849,0.0
35017,3,000584849,0.0
35023,3,000584849,0.0
35031,3,000584849,0.0
32001,3,000584849,0.0
32015,3,000584849,0.0
32023,3,000584849,0.0
32027,3,000584849,0.0
36071,3,000584849,0.0
39001,3,000584849,0.0
39017,3,000584849,0.0
39021,3,000584849,0.0
39025,3,000584849,0.0
39029,3,000584849,186.179210869113
39053,3,000584849,0.0
39063,3,000584849,0.0
39081,3,000584849,0.0
39167,3,000584849,0.0
40031,3,000584849,0.0
40093,3,000584849,0.0
41005,3,000584849,0.0
42005,3,000584849,0.0
42007,3,000584849,3.9417176953
42025,3,000584849,0.0
42059,3,000584849,0.0
42063,3,000584849,0.0
42093,3,000584849,0.0
42107,3,000584849,0.0
42111,3,000584849,0.0
42121,3,000584849,0.0
42125,3,000584849,0.0
42129,3,000584849,9.752235955000002
45039,3,000584849,0.0
45051,3,000584849,0.0
47001,3,000584849,0.0
47073,3,000584849,0.0
47085,3,000584849,0.0
47145,3,000584849,0.0
47161,3,000584849,0.0
47165,3,000584849,0.0
47177,3,000584849,0.0
48003,3,000584849,0.0
48093,3,000584849,0.0
48149,3,000584849,0.0
48157,3,000584849,0.0
48161,3,000584849,0.0
48293,3,000584849,0.0
48331,3,000584849,0.0
48369,3,000584849,0.0
48395,3,000584849,0.0
48401,3,000584849,0.0
48449,3,000584849,0.0
48485,3,000584849,0.0
49015,3,000584849,0.0
49027,3,000584849,0.0
49053,3,000584849,0.0
51083,3,000584849,0.0
51163,3,000584849,0.0
51167,3,000584849,0.0
51195,3,000584849,0.0
51550,3,000584849,0.0
78010,3,000584849,0.0
53019,3,000584849,0.0
53041,3,000584849,0.0
55011,3,000584849,0.0
55123,3,000584849,0.0
54023,3,000584849,0.0
54033,3,000584849,7.992297559400002
54049,3,000584849,0.0
54051,3,000584849,12739.59530382
54061,3,000584849,0.0
54073,3,000584849,14.968548210000007
54079,3,000584849,0.0
56009,3,000584849,0.0
56031,3,000584849,0.0
56037,3,000584849,0.0
02090,3,000101688,0.0
02188,3,000101688,0.0
01019,3,000101688,0.0
01033,3,000101688,0.0
01063,3,000101688,0.0
01073,3,000101688,181.436948
01077,3,000101688,0.0
01089,3,000101688,128.82023308
01117,3,000101688,0.0
01119,3,000101688,0.0
01127,3,000101688,0.0
05037,3,000101688,0.0
05063,3,000101688,0.0
04001,3,000101688,0.0
04003,3,000101688,0.0
04005,3,000101688,0.0
04007,3,000101688,0.0
04011,3,000101688,0.0
04019,3,000101688,0.0
04021,3,000101688,0.0
04025,3,000101688,0.0
06029,3,000101688,0.0
06031,3,000101688,0.0
08081,3,000101688,0.0
10005,3,000101688,0.0
12017,3,000101688,0.0
12031,3,000101688,29.02991168
12057,3,000101688,0.0
13015,3,000101688,0.0
13077,3,000101688,1066.84925424
13149,3,000101688,0.0
13207,3,000101688,0.0
13237,3,000101688,0.0
13257,3,000101688,0.0
19017,3,000101688,0.0
19155,3,000101688,0.0
16029,3,000101688,0.0
17021,3,000101688,0.0
17057,3,000101688,0.0
17079,3,000101688,0.0
17109,3,000101688,0.0
17135,3,000101688,0.0
17157,3,000101688,0.0
17189,3,000101688,0.0
18029,3,000101688,0.0
18051,3,000101688,0.0
18073,3,000101688,0.0
18077,3,000101688,0.0
18083,3,000101688,0.0
18109,3,000101688,0.0
18125,3,000101688,0.0
18147,3,000101688,0.0
18153,3,000101688,0.0
18165,3,000101688,0.0
18167,3,000101688,0.0
18173,3,000101688,0.0
20059,3,000101688,0.0
20107,3,000101688,0.0
20117,3,000101688,0.0
20149,3,000101688,0.0
20177,3,000101688,0.0
21041,3,000101688,0.0
21049,3,000101688,0.0
21101,3,000101688,0.0
21127,3,000101688,0.0
21145,3,000101688,0.0
21161,3,000101688,0.0
21167,3,000101688,0.0
21177,3,000101688,0.0
21183,3,000101688,0.0
21223,3,000101688,0.0
22019,3,000101688,0.0
22055,3,000101688,0.0
22077,3,000101688,0.0
22121,3,000101688,0.0
25005,3,000101688,0.0
24017,3,000101688,0.0
24023,3,000101688,0.0
24033,3,000101688,0.0
26017,3,000101688,0.0
26103,3,000101688,0.0
26115,3,000101688,0.0
26129,3,000101688,0.0
26139,3,000101688,0.0
26147,3,000101688,0.0
27025,3,000101688,0.0
27141,3,000101688,0.0
29071,3,000101688,429.09838202
29093,3,000101688,0.0
29099,3,000101688,0.0
29143,3,000101688,0.0
29175,3,000101688,0.0
29183,3,000101688,429.09838202
28019,3,000101688,0.0
28027,3,000101688,0.0
28047,3,000101688,0.0
30043,3,000101688,0.0
30087,3,000101688,0.0
30095,3,000101688,0.0
37013,3,000101688,0.0
37035,3,000101688,320.68980559000005
37071,3,000101688,3007.77100547
37145,3,000101688,0.0
37161,3,000101688,0.0
37165,3,000101688,0.0
37169,3,000101688,0.0
37181,3,000101688,0.0
38055,3,000101688,0.0
38057,3,000101688,0.0
38065,3,000101688,0.0
31105,3,000101688,0.0
31111,3,000101688,0.0
31131,3,000101688,0.0
34009,3,000101688,0.0
35009,3,000101688,0.0
35017,3,000101688,0.0
35023,3,000101688,0.0
35031,3,000101688,0.0
32001,3,000101688,0.0
32015,3,000101688,0.0
32023,3,000101688,0.0
32027,3,000101688,0.0
36071,3,000101688,0.0
39001,3,000101688,0.0
39017,3,000101688,0.0
39021,3,000101688,0.0
39025,3,000101688,0.0
39029,3,000101688,0.0
39053,3,000101688,0.0
39063,3,000101688,0.0
39081,3,000101688,0.0
39167,3,000101688,1.81436948
40031,3,000101688,0.0
40093,3,000101688,0.0
41005,3,000101688,0.0
42005,3,000101688,2.2679618500000003
42007,3,000101688,0.0
42025,3,000101688,0.0
42059,3,000101688,0.0
42063,3,000101688,0.0
42093,3,000101688,0.0
42107,3,000101688,0.0
42111,3,000101688,0.0
42121,3,000101688,0.0
42125,3,000101688,0.0
42129,3,000101688,3.62873896
45039,3,000101688,0.0
45051,3,000101688,0.0
47001,3,000101688,0.0
47073,3,000101688,0.0
47085,3,000101688,0.0
47145,3,000101688,0.0
47161,3,000101688,0.0
47165,3,000101688,0.0
47177,3,000101688,0.0
48003,3,000101688,0.0
48093,3,000101688,0.0
48149,3,000101688,0.0
48157,3,000101688,147.87111262000005
48161,3,000101688,0.0
48293,3,000101688,0.0
48331,3,000101688,0.0
48369,3,000101688,0.0
48395,3,000101688,0.0
48401,3,000101688,0.0
48449,3,000101688,0.0
48485,3,000101688,2166.35715912
49015,3,000101688,0.0
49027,3,000101688,0.0
49053,3,000101688,0.0
51083,3,000101688,0.0
51163,3,000101688,0.0
51167,3,000101688,0.0
51195,3,000101688,0.0
51550,3,000101688,0.0
78010,3,000101688,0.0
53019,3,000101688,0.0
53041,3,000101688,0.0
55011,3,000101688,0.0
55123,3,000101688,0.0
54023,3,000101688,0.0
54033,3,000101688,0.0
54049,3,000101688,0.0
54051,3,000101688,12994.967808130004
54061,3,000101688,0.0
54073,3,000101688,0.0
54079,3,000101688,0.0
56009,3,000101688,0.0
56031,3,000101688,0.0
56037,3,000101688,0.0
02090,3,000075070,0.0
02188,3,000075070,0.0
01019,3,000075070,0.0
01033,3,000075070,5669.904625
01063,3,000075070,0.0
01073,3,000075070,0.0
01077,3,000075070,0.0
01089,3,000075070,0.0
01117,3,000075070,0.0
01119,3,000075070,0.0
01127,3,000075070,0.0
05037,3,000075070,0.0
05063,3,000075070,10507.46725105
04001,3,000075070,0.0
04003,3,000075070,0.0
04005,3,000075070,0.0
04007,3,000075070,0.0
04011,3,000075070,0.0
04019,3,000075070,0.0
04021,3,000075070,0.0
04025,3,000075070,0.0
06029,3,000075070,133.80249167208
06031,3,000075070,0.0
08081,3,000075070,0.0
10005,3,000075070,0.0
12017,3,000075070,0.0
12031,3,000075070,92673.00352233
12057,3,000075070,0.0
13015,3,000075070,0.0
13077,3,000075070,0.0
13149,3,000075070,0.0
13207,3,000075070,0.0
13237,3,000075070,0.0
13257,3,000075070,0.0
19017,3,000075070,0.0
19155,3,000075070,25948.5407765738
16029,3,000075070,0.0
17021,3,000075070,0.0
17057,3,000075070,5267.413971404201
17079,3,000075070,0.0
17109,3,000075070,0.0
17135,3,000075070,0.0
17157,3,000075070,0.0
17189,3,000075070,0.0
18029,3,000075070,0.0
18051,3,000075070,0.0
18073,3,000075070,34650.3974162885
18077,3,000075070,0.0
18083,3,000075070,0.0
18109,3,000075070,0.0
18125,3,000075070,0.0
18147,3,000075070,0.0
18153,3,000075070,0.0
18165,3,000075070,0.0
18167,3,000075070,76418.97453575
18173,3,000075070,0.0
20059,3,000075070,0.0
20107,3,000075070,0.0
20117,3,000075070,0.0
20149,3,000075070,0.0
20177,3,000075070,0.0
21041,3,000075070,0.0
21049,3,000075070,0.0
21101,3,000075070,0.0
21127,3,000075070,0.0
21145,3,000075070,0.0
21161,3,000075070,0.0
21167,3,000075070,0.0
21177,3,000075070,0.0
21183,3,000075070,0.0
21223,3,000075070,0.0
22019,3,000075070,24825.1104101
22055,3,000075070,0.0
22077,3,000075070,0.0
22121,3,000075070,0.0
25005,3,000075070,0.0
24017,3,000075070,0.0
24023,3,000075070,0.0
24033,3,000075070,0.0
26017,3,000075070,0.0
26103,3,000075070,0.0
26115,3,000075070,71361.41961025
26129,3,000075070,0.0
26139,3,000075070,0.0
26147,3,000075070,15538.437127744302
27025,3,000075070,0.0
27141,3,000075070,0.0
29071,3,000075070,0.0
29093,3,000075070,0.0
29099,3,000075070,0.0
29143,3,000075070,0.0
29175,3,000075070,0.0
29183,3,000075070,0.0
28019,3,000075070,0.0
28027,3,000075070,0.0
28047,3,000075070,0.0
30043,3,000075070,0.0
30087,3,000075070,0.0
30095,3,000075070,0.0
37013,3,000075070,0.0
37035,3,000075070,0.0
37071,3,000075070,104572.54575691
37145,3,000075070,109719.4583793
37161,3,000075070,0.0
37165,3,000075070,0.0
37169,3,000075070,0.0
37181,3,000075070,0.0
38055,3,000075070,86075.95609304999
38057,3,000075070,0.0
38065,3,000075070,0.0
